NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Majlis Daerah Machang,5.761049,102.21924890000003,Majlis Daerah Machang,"Majlis Daerah Machang, Jalan Tok Kemuning, 18500 Machang, Kelantan Darul Naim",609 - 9751076,609 - 9751431,mdm@kelantan.gov.my,http://www.mdmachang.gov.my,http://www.facebook.com/home.php#!/profile.php?id=100002264263652,,http://www.twitter.com/mdmachang,,,,
Majlis Daerah Maradong dan Julau,2.213818,111.55139,Majlis Daerah Maradong dan Julau,Peti Surat 4 Jalan Mahkamah 96507 Bintangor Sarawak.,6084-693288,6084-693973,mdmjadm@pd.jaring.my,http://www.maradong-julaudc.sarawak.gov.my/,,,,,,,
Majlis Daerah Maran,3.584086,102.78296210000008,Majlis Daerah Maran,"Majlis Daerah Maran, 26500 Maran, Pahang Darul Makmur",609-4771411,609-4771511,aduan@mdmaran.gov.my,http://www.mdmaran.gov.my,,,http://twitter.com/MDMaran,,,,
Majlis Daerah Marang,5.202293000000001,103.20033710000007,Majlis Daerah Marang,"Majlis Daerah Marang 21600 Marang Terengganu Darul Iman, Malaysia",609 - 618 2366 / 368,609 - 618 2490,mdmarang@terengganu.gov.my,http://www.mdmarang.gov.my/,,,,,,,
Majlis Daerah Marudi,1.352571,111.517594,Majlis Daerah Marudi,"Majlis Daerah Marudi, Peti Surat 374, 98058 Baram, Sarawak, Malaysia. Talifon: 085-755755",085-755755,085-755336,cio@marudidc.org,http://www.marudidc.org/,,,,,,,
Majlis Daerah Matu dan Daro,2.502668,112.31567,Majlis Daerah Matu dan Daro,"Majlis Daerah Matu dan Daro,Bangunan Datuk Pengiran Hipni, Jalan Datuk Pengiran Hj Hipni, 96250, Matu, Sarawak.",6084-832233,6084-832343,www.matu-darodc.sarawak.gov.my,http://matudarodc.sarawak.gov.my,,,,,,,
Majlis Daerah Mersing,2.431852,103.83959099999993,Majlis Daerah Mersing,"No 243, Jalan Ibrahim, 86800 Mersing, Johor Darul Takzim",07-7981818,07-7993975,mdmsg@johor.gov.my,http://www.mdmersing.gov.my/,,,,,,,
Majlis Daerah Padang Terap,5.280153,100.626698,Majlis Daerah Padang Terap,"Majlis Daerah Padang Terap 06300 Kuala Nerang, Kedah Darul Aman",604 - 786 6328,604 - 786 6639,mdptk@mdptk.gov.my,http://www.mdptk.gov.my/,,,,,,,
"Majlis Daerah Papar, Sabah",5.7311687,115.93201709999994,"Majlis Daerah Papar, Sabah","Peti surat 177, 89608, Papar, Sabah",088-911094,088-913608,md.ppr@sabah.gov.my,http://www.sabah.gov.my/md.ppr/,,,,,,,
Majlis Daerah Pasir Mas,6.042681,102.1391122,Majlis Daerah Pasir Mas,"MAJLIS DAERAH PASIR MAS Kompleks Apam Putra, Bandar Baru Lubok Jong, 17000 Pasir Mas, Kelantan.",609-7916666 / 777,609-7916999,mdpm@kelantan.gov.my,http://www.mdpmas.gov.my,http://www.facebook.com/people/Majlis-Daerah-Pasir-Mas/100000878949439,,http://twitter.com/#!/mdpasirmas,,,,
Majlis Daerah Pasir Puteh,5.832856,102.40528280000001,Majlis Daerah Pasir Puteh,"MAJLIS DAERAH PASIR PUTEH 16800 Pasir Puteh, Kelantan Darul Naim",609-7866011 / 4294,609-7867011,setiausaha@mdpputeh.gov.my / it@mdpputeh.gov.my,http://www.mdpputeh.gov.my,http://www.facebook.com/pages/Majlis-Daerah-Pasir-Puteh/329090643789421,,http://twitter.com/#!/mdpputeh,,,,
Majlis Daerah Pekan,3.500721,103.39012120000007,Majlis Daerah Pekan,"Jalan Mahkota, 26600 Pekan Bandar DiRaja, Pahang Darul Makmur",609-4211077/4211080,609-4221954,aduan@mdpekan.gov.my,http://www.mdpekan.gov.my/,,,http://twitter.com/mdpekan,,,,
"Majlis Daerah Penampang, Sabah",5.879359,116.10398480000003,"Majlis Daerah Penampang, Sabah","Peti Surat 80 89507 Penampang Sabah, Malaysia",088-711711/711712,088-712588,Charles.Ebol@sabah.gov.my,http://www.sabah.gov.my/md.ppg/,,,,,,,
Majlis Daerah Pendang,5.982450999999999,100.45936299999994,Majlis Daerah Pendang,"MAJLIS DAERAH PENDANG , ARAS 3 WISMA SRI PENDANG, 06700, PENDANG, KEDAH",604 - 759 6077,604 - 759 6709,aduan@mdpendang.gov.my,http://www.mdpendang.gov.my/,,,,,,,
Majlis Daerah Pengkalan Hulu,5.707415,100.996609,Majlis Daerah Pengkalan Hulu,"Majlis Daerah Pengkalan Hulu, Jalan Pejabat, 33100 Pengkalan Hulu, Perak Darul Ridzuan.",04-4778148,04-4778735,urusetia@mdph.gov.my,http://www.mdph.gov.my/,,,,,,,
Majlis Daerah Perak Tengah,4.369842,100.907288,Majlis Daerah Perak Tengah,"KOMPLEKS PENTADBIRAN DAERAH PERAK TENGAH, SERI ISKANDAR, 32610 BANDAR SERI ISKANDAR, PERAK DARUL RIDZUAN.",05-3712088/05-3712014,05-3712089,admin@mdpt.gov.my,http://www.mdpt.gov.my/,http://www.facebook.com/mdptseriiskandar,,https://twitter.com/#!/mdptpk,,,,
Majlis Daerah Pontian,1.48854,103.388344,Majlis Daerah Pontian,"Majlis Daerah Pontian, Jalan Alsagoff, 82000 Pontian, Johor Darul Ta'zim",07-6871442,07-6873131,mdpjohor@gmail.com,http://www.mdpontian.gov.my/,,,,,,,
Majlis Daerah Raub,3.792596,101.85839390000001,Majlis Daerah Raub,"Majlis Daerah Raub, 27600 Raub, Pahang Darul Makmur.",609-3551175,609-3554270,ydpraub@pahang.gov.my,http://www.mdraub.gov.my/,http://www.facebook.com/profile.php?v=wall&id=100000789283173,,https://twitter.com/#!/ydpraub,,,,
Majlis Daerah Rembau,2.5912245,102.09910149999996,Majlis Daerah Rembau,"Majlis Daerah Rembau Dewan Merdeka, Jalan Dato' Maharaja Lela 71309 Rembau NEGERI SEMBILAN DARUL KHUSUS",606-685 1144,606-685 5117,mdr@mdr.gov.my,http://www.mdr.gov.my/,,,,,,,
Majlis Daerah Rompin,2.800298,103.48581489999992,Majlis Daerah Rompin,"Majlis Daerah Rompin 26800 Kuala Rompin, Pahang Darul Makmur,",609-4146677/4146688,609-4146507,mdrompin@mdrompin.gov.my,http://www.mdrompin.gov.my/,,,,,,,
Majlis Daerah Sabak Bernam,3.675761,100.990184,Majlis Daerah Sabak Bernam,"Majlis Daerah Sabak Bernam 45300 Sungai Besar, Selangor Darul Ehsan",603 - 3224 1655 / 1000,603 - 3224 2766 / 5399,aduan@mdsb.gov.my,http://www.mdsb.gov.my,,,,,,,
Majlis Daerah Samarahan,1.461149,110.43119019999995,Majlis Daerah Samarahan,"MAJLIS DAERAH SAMARAHAN 94300 Kota Samarahan, Sarawak, Malaysia.",6082 - 671023,6082 - 671342,mdshan@sarawaknet.gov.my,http://www.samarahandc.sarawak.gov.my/,,,,,,,
Majlis Daerah Saratok,1.7362,111.3528,Majlis Daerah Saratok,"MAJLIS DAERAH SARATOK Jalan Datuk Abang Abu Talip, Peti Surat No. 73, 95400 Saratok, Sarawak.","6083-436104, 436146",6083-436511,saratodc@sarawak.gov.my,http://www.saratokdc.sarawak.gov.my/,,,,,,,
Majlis Daerah Sarikei,2.117813,111.5212,Majlis Daerah Sarikei,"SARIKEI DISTRICT COUNCIL Jalan Nyelong, 96100 Sarikei, Peti Surat 420, 96108 Sarikei, Sarawak.","6084-651201, 651202",6084-658623,mdsarikei@moeswk.gov.my,http://www.sarikeidc.sarawak.gov.my/,,,,,,,
Majlis Daerah Segamat,2.026083,103.333661,Majlis Daerah Segamat,"No 1, Jalan Abdullah, 85000 Segamat, Johor Darul Ta'zim",07-9314455,07-9312712,mdsgt@johor.gov.my / mdsegt@gmail.com,http://www.mdsegamat.gov.my/,,,,,,,
Majlis Daerah Selama,5.217427,100.693855,Majlis Daerah Selama,34100 Selama Perak Darul Ridzuan,05-8394201,05-8394377,webmaster@mdselama.gov.my,http://www.mdselama.gov.my/,http://www.facebook.com/pages/MAJLIS-DAERAH-SELAMA/103887452984559?ref=mf,,https://twitter.com/#!/mdselama,,,,
"Majlis Daerah Semporna, Sabah",4.436335,118.53184209999995,"Majlis Daerah Semporna, Sabah","PEJABAT DAERAH SEMPORNA Bangunan Urus Setia, Peti Surat No. 1, 91307 Semporna",089-785354,089-785484,md.sprn@sabah.gov.my,http://www.sabah.gov.my/md.sprn/,,,,,,,
Majlis Daerah Serian,1.172728,110.56387900000004,Majlis Daerah Serian,"MAJLIS DAERAH SERIAN No. 1, Jalan Bunga Tanjung, 94700 Serian, Sarawak, Malaysia.","6082-874154, 874155",6082-874799,mdserian@sarawaknet.gov.my,http://www.seriandc.sarawak.gov.my/,,,,,,,
Majlis Daerah Setiu,5.5162547,102.75804779999999,Majlis Daerah Setiu,"Majlis Daerah Setiu, Wisma MDS, 22100, Bandar Permaisuri, Setiu, Terengganu.",09-6099377/ 09-6099434/ 09-6099757,609 - 609 9367,mdsetiu@ terengganu.gov.my,http://mds.terengganu.gov.my/,,,,,,,
Majlis Daerah Sik,5.819855,100.74405,Majlis Daerah Sik,"Majlis Daerah Sik, 08200 Sik, Kedah Darul Aman",604 - 469 5394,604 - 469 5448,admin@mdsik.gov.my,http://mdsik.gov.my/,,,,,,,
Majlis Daerah Simpang Renggam,1.828364,103.31076819999998,Majlis Daerah Simpang Renggam,"Pejabat MD Simpang Renggam, 86200 Simpang Renggam, Johor Darul Takzim",07-7551300,07-7551302,info@mdsrenggam.gov.my,http://www.mdsrenggam.gov.my/home,,,https://twitter.com/#!/MDSRenggam,,,,
Majlis Daerah Simunjan,1.186179,110.9032492,Majlis Daerah Simunjan,"Gunong Ngeli New Service Centre, Simunjan Sarawak.",6082-895610,6082-895685,mijina@sarwak.gov.my,http://www.simunjandc.sarawak.gov.my,,,,,,,
Majlis Daerah Sipitang,,,Majlis Daerah Sipitang,"PEJABAT DAERAH SIPITANG Peti Surat 26, 89857 Sipitang, SABAH",+6087821963/+6087821965,+6087822433,pd.sipitang@sabah.gov.my,http://www.sabah.gov.my/pd.sptg/,,,,,,,
Majlis Daerah Sri Aman,1.23358,111.46374220000007,Majlis Daerah Sri Aman,Pejabat Daerah Sri Aman Jalan Abang Aing 95000 Sri Aman Sarawak.,083 - 322012 / 322013 / 321091,083 - 321703,ismawies@sarawak.gov.my,http://www.sriamando.sarawak.gov.my/,,,,,,,
Majlis Daerah Subis,4.06766,113.830959,Majlis Daerah Subis,"Peti Surat 83,98150 Bekenu,Sarawak.",085-719018,085-719527,-,http://www.mdsubis.sarawak.gov.my,,,,,,,
"Majlis Daerah Tambunan, Sabah",5.691488,116.37752620000003,"Majlis Daerah Tambunan, Sabah","Majlis Daerah Tambunan Peti Surat 31, 89657 Tambunan Sabah Malaysia",087-770132,087-774441,md.tbn@sabah.gov.my,http://www.sabah.gov.my/md.tbn/,,,,,,,
Majlis Daerah Tampin,2.4690777,102.22872189999998,Majlis Daerah Tampin,"MAJLIS DAERAH TAMPIN 73000 Tampin, Negeri Sembilan, Malaysia",064411601/4411609,606-441 3001,mdt@mdtampin.gov.my,http://www.mdtampin.gov.my/,,,,,,,
Majlis Daerah Tanah Merah,5.807429,102.15102490000004,Majlis Daerah Tanah Merah,"MAJLIS DAERAH TANAH MERAH 17500 Tanah Merah,Kelantan",609 - 9556026,609 - 9556826,mdtm@kelantan.gov.my,http://www.mdtanahmerah.gov.my,http://www.facebook.com/pages/Majlis-Daerah-Tanah-Merah/160684770652755,,http://twitter.com/mdtanahmerah,,,,
Majlis Daerah Tangkak,2.272138,102.52794399999993,Majlis Daerah Tangkak,"Pejabat Besar Majlis Daerah Tangkak, Peti Surat 63, 84907 Tangkak.",06-9781261/9782226,06-9782670,mdtgk@johor.gov.my,http://www.mdtangkak.gov.my/home,,,,,,,
Majlis Daerah Tanjong Malim,3.683429,101.523209,Majlis Daerah Tanjong Malim,"Peti Surat 59, Bandar Behrang 2020, 35900 Tanjong Malim Perak",05-4563410/20,05-4563430/440,mdtmalim@mdtm.gov.my,http://mdtm.gov.my/,,,,,,,
Majlis Daerah Tapah,4.204235,101.260964,Majlis Daerah Tapah,"Majlis Daerah Tapah, Jalan Stesyen, 35000 Tapah, Perak Darul Ridzuan",605-4011326/4012329,605-4012288,mdt@mdtapah.gov.my,http://www.mdtapah.gov.my/,http://www.facebook.com/mdtapah,,https://twitter.com/#!/mdtapah,,,,
"Majlis Daerah Tenom, Sabah",4.987223,115.92408309999996,"Majlis Daerah Tenom, Sabah","Majlis Daerah Tenom Peti Surat 114, 89907 Tenom, Sabah, Malaysia",087-735553,087-737552,"Roland.Rujit@sabah,gov.my",http://www.sabah.gov.my/md.tnm/,,,,,,,
Majlis Daerah Tumpat,6.195073000000001,102.16573599999992,Majlis Daerah Tumpat,"Jalan Tanjung Kuala , 16200 Tumpat, Kelantan",609 - 7252224,609 - 7256919,mdt@kelantan.gov.my,http://www.mdtumpat.gov.my,http://www.facebook.com/?ref=home#!/profile.php?id=100001008746431&ref=ts,,http://twitter.com/mdtumpat,,,,
Majlis Daerah Yan,5.831484,100.38984299999993,Majlis Daerah Yan,"Majlis Daerah Yan,06900 Yan, Kedah Darul Aman.",604 - 465 5745,604 - 465 5990,mdy@mdy.gov.my,http://mdyan.gov.my/,,,,,,,
Majlis Daerah Yong Peng,2.020842,103.05657900000006,Majlis Daerah Yong Peng,"Pejabat Majlis Daerah Yong Peng, KM 1, Jalan Labis, 83700 Batu Pahat",07-4671276,07-4671712,mdyp@johor.gov.my,http://www.mdyp.gov.my/,,,http://twitter.com/#!/mdyongpeng,,,,
Majlis Kayu Kayan Malaysia,3.122283,101.729702,Majlis Kayu Kayan Malaysia,"18th Floor Menara PGRM, 8 Jalan Pudu Ulu Cheras, 56100 Kuala Lumpur",603-9281 1999,603-9282 8999,council@mtc.com.my,http://www.mtc.com.my,,,,,,,
Majlis Keselamatan Negara,2.938814,101.6917,Majlis Keselamatan Negara,"Majlis Keselamatan Negara Jabatan Perdana Menteri Aras LG & G, Blok Barat Bangunan Perdana Putra Pusat Pentadbiran Kerajaan Persekutuan 62502 Putrajaya",03-8872 6817,03-8888 3021,webmaster@mkn.gov.my,http://www.mkn.gov.my,http://www.facebook.com/informasibencana?fref=ts,,http://twitter.com/PortalBanjir,,,,
Majlis Keselamatan Pesakit Malaysia,2.942473,101.707284,Majlis Keselamatan Pesakit Malaysia,"Majlis Keselamatan Pesakit Malaysia, Quality in Medical Care Section, Medical Development Devision, Ministry of Health, Level 4, Block E1, Parcel E Pusat Pentadbiran Kerajaan Persekutuan, 62590 Putrajaya",603-8883 1180,603-8883 1176,-,http://patientsafety.moh.gov.my,,,,,,,
Majlis Minyak Sawit Malaysia,3.098776,101.598775,Majlis Minyak Sawit Malaysia,"2nd. Floor, Wisma Sawit, Lot 6, SS6, Jalan Perbandaran, 47301 Kelana Jaya, Selangor",603-7806 4097,603-7806 2272,wbmaster@mpoc.org.my,http://www.mpoc.org.my,,,,,,,
Majlis Peperiksaan Malaysia,3.260534,101.653527,Majlis Peperiksaan Malaysia,MALAYSIAN EXAMINATIONS COUNCIL PERSIARAN 1 BANDAR BARU SELAYANG 68100 BATU CAVES SELANGOR DARUL EHSAN,603-6136 9663,603-6136 1488,ppa@mpm.edu.my,http://www.mpm.edu.my/,,,,,,,
Majlis Perbandaran Alor Gajah,2.49346,102.186418,Majlis Perbandaran Alor Gajah,"Jalan Dato' Dol Said, 78000 Alor Gajah, Melaka, Malaysia.",06 333 3333,06 556 4909,mpag@mpag.gov.my,http://www.mpag.gov.my/,http://www.facebook.com/pages/MPAG/171649552869184,,https://twitter.com/#!/mp_alorgajah,,,,
Majlis Perbandaran Ampang Jaya(MPAJ),3.137602,101.74161,Majlis Perbandaran Ampang Jaya(MPAJ),"Menara MPAJ, Jalan Pandan Utama, Pandan Indah, Kuala Lumpur, Federal Territory of Kuala Lumpur",603 - 4296 8000,603 - 4296 8050,hotline@mpaj.gov.my,http://www.mpaj.gov.my/,http://www.facebook.com/pages/MPAJ/183960408299686?sk=wall,,http://twitter.com/mp_ampangjaya,,,,
Majlis Perbandaran Batu Pahat,1.731314,103.644661,Majlis Perbandaran Batu Pahat,"Bangunan MPBP, Jalan Pejabat 83000 Batu Pahat Johor Darul Takzim",07-434 1045,07-4321164,info@mpbp.gov.my,http://www.mpbp.gov.my/,,,,,,,
Majlis Perbandaran Bentong,3.524933,101.90973489999999,Majlis Perbandaran Bentong,"Majlis Perbandaran Bentong, Jalan Ketari, 28700 Bentong, Pahang Darul Makmur.",609-2221148,609-2223729,mpbentong@pahang.gov.my,http://www.mpbentong.gov.my/,http://www.facebook.com/pages/Bentong-Town-Malaysia/MAJLIS-PERBANDARAN-BENTONG/392686112222,,https://twitter.com/#!/mpbentong,,,,
Majlis Perbandaran Dungun,4.774213,103.42317600000001,Majlis Perbandaran Dungun,"MAJLIS PERBANDARAN DUNGUN Jalan Yahaya Ahmad, 23000 Dungun, Terengganu.",609 - 848 1931,609 - 848 3210,mpdungun@terengganu.gov.my,http://mpd.terengganu.gov.my/,,,,,,,
Majlis Perbandaran Hang Tuah Jaya,2.2131565,102.23941409999998,Majlis Perbandaran Hang Tuah Jaya,"Lot F51 & F52, Tingkat 1, Kompleks Melaka Mall, Jalan Tun Razak - Ayer Keroh 75450 Ayer Keroh, Hang Tuah Jaya, Melaka",606 - 232 3773,606 - 232 2778,admin@mphtj.gov.my,http://www.mphtj.gov.my/,,,,,,,
Majlis Perbandaran Jasin,2.304762,102.42577400000005,Majlis Perbandaran Jasin,"Majlis Perbandaran Jasin, 77000 Jasin, Melaka.",06-3333 333,06-5293 537,info@mpjasin.gov.my,http://www.mpjasin.gov.my/,http://www.facebook.com/people/Majlis-Perbandaran-Jasin/100000532758111,,https://twitter.com/#!/mp_jasin,,,,
Majlis Perbandaran Johor Bahru Tengah,1.5718369,103.68046320000008,Majlis Perbandaran Johor Bahru Tengah,"Pejabat Majlis Perbandaran Johor Bahru Tengah, 81300 Johor Bahru, Johor.",07-5555000,07-5568007,admin@mpjbt.gov.my,http://www.mpjbt.gov.my/home,,,,,,,
Majlis Perbandaran Kajang,2.994221,101.789488,Majlis Perbandaran Kajang,"Menara MPKj Jalan Cempaka Putih, Off Jalan Semenyih, 43000 Kajang, Selangor Darul Ehsan",603 - 8737 7899,603 - 8737 7897,aduan@mpkj.gov.my,http://www.mpkj.gov.my/,http://www.facebook.com/mpkajang,,http://twitter.com/#!/mpkajang,,,,
Majlis Perbandaran Kangar,6.437381,100.193416,Majlis Perbandaran Kangar,"Majlis Perbandaran Kangar 192, Persiaran Jubli Emas, 01000 Kangar, Perlis",604 - 976 2188,604 - 976 6052,mpkpls@mpkangar.gov.my,http://www.mpkangar.gov.my/,,,,,,,
Majlis Perbandaran Kemaman,4.235865400000001,103.41686219999997,Majlis Perbandaran Kemaman,"KEMAMAN MUNICIPAL COUNCIL JALAN AIR PUTIH, CHUKAI, 24000 KEMAMAN, TERENGGANU",609 - 859 7777 / 609,609 - 859 5455,mpkemaman@mpkemaman.gov.my,http://mpk.terengganu.gov.my/,,,,,,,
Majlis Perbandaran Klang,3.044818,101.444658,Majlis Perbandaran Klang,"Majlis Perbandaran Klang Bangunan Sultan Alam Shah Jalan Perbandaran 41675 Klang, Selangor Darul Ehsan",603 - 3371 6044,603 - 3372 0344,aduanmpk@mpklang.gov.my,http://www.mpklang.gov.my,http://www.facebook.com/people/Saluran-Komunikasi-Mpklang/100000622722632,,http://twitter.com/#!/MPK_Prihatin,,,,
Majlis Perbandaran Kluang,2.024152,103.31509200000005,Majlis Perbandaran Kluang,"Majlis Perbandaran kluang,Jalan Pejabat Kerajaan,",07-777 1401 / 1402,07-771 3209,mpk@johor.gov.my,http://www.mpkluang.gov.my/,http://www.facebook.com/pages/Majlis-Perbandaran-Kluang/120582987961186,,http://twitter.com/#!/MPKLUANG,,,,
Majlis Perbandaran Kota Bharu Bandar Raya Islam,6.125076,102.24255399999993,Majlis Perbandaran Kota Bharu Bandar Raya Islam,"Majlis Perbandaran Kota Bharu Bandar Raya Islam Jalan Hospital, 15000 Kota Bharu, Kelantan.",609-7484477,609-7486026,kbtm@mpkb.gov.my,http://www.mpkbbri.gov.my/,http://www.facebook.com/profile.php?id=100002291473663,,http://twitter.com/mpkotabharu,,,,
Majlis Perbandaran Kuala Kangsar,4.779717,100.942364,Majlis Perbandaran Kuala Kangsar,Wisma MPKK Jalan Taiping 33000 Kuala Kangsar Perak Darul Ridzuan,05-7763199,05-7761004,aduan@mpkkpk.gov.my,http://www.mpkkpk.gov.my/,http://www.facebook.com/pages/MAJLIS-PERBANDARAN-KUALA-KANGSAR/261921195921?ref=ts,,https://twitter.com/#!/mpkualakangsar,,,,
Majlis Perbandaran Kuantan,3.779578,103.27757300000007,Majlis Perbandaran Kuantan,"Majlis Perbandaran Kuantan. Jalan Tanah Putih, 25100 Kuantan, Pahang.",609-5121555/5121666,609-5130644,aduan@mpk.gov.my,http://www.mpk.gov.my/,http://www.facebook.com/pages/Kuantan-Malaysia/Majlis-Perbandaran-Kuantan/109247735761633,,http://twitter.com/mpkuantan,,,,
Majlis Perbandaran Kulai,1.656669,103.60620700000004,Majlis Perbandaran Kulai,"Majlis Perbandaran Kulai Jalan Pejabat Kerajaan, 81000 Kulaijaya, Johor Darul Takzim.",07 - 6631511,07 - 6632407,aduan.mpku@johor.gov.my,http://www.mpkulai.gov.my/,http://www.facebook.com/majlisperbandaran.kulairasmi,,http://twitter.com/#!/MPKulai,,,,
Majlis Perbandaran Kulim,5.38945,100.56343100000004,Majlis Perbandaran Kulim,"Majlis Perbandaran Kulim Kedah, No 104-120 Lorong Kota Kenari 5/1, Taman Kota Kenari, 09000 Kulim, Kedah Darul Aman.",604 - 490 6522,604 - 490 1433,nfo@mpkk.gov.my,http://www.mpkk.gov.my,,,,,,,
Majlis Perbandaran Langkawi Bandaraya Pelancongan,6.3186232,99.85086160000003,Majlis Perbandaran Langkawi Bandaraya Pelancongan,"Majlis Perbandaran Langkawi Bandaraya Pelancongan 07000 Kuah Langkawi, Kedah Darul Aman.",04-9666590 / 9671524 /,04-9671773,ydp@mplbp.gov.my,http://www.mplbp.gov.my/,,,,,,,
Majlis Perbandaran Manjung,4.196156,100.664397,Majlis Perbandaran Manjung,"JALAN PINANG RAJA, 32040 SERI MANJUNG, PERAK",05 6898800,05 6882102,webmaster@mpm.gov.my,http://mpm.gov.my/,,http://www.myspace.com/mpmanjung,http://twitter.com/#!/mpmanjung,,,,
Majlis Perbandaran Muar,2.039272,102.56909180000002,Majlis Perbandaran Muar,"Karung Berkunci No.516, 84009 Muar, Johor Darul Takzim.",06-9521204,06-9522691,mpmuar@johor.gov.my,http://www.mpmuar.gov.my/,,,,,,,
Majlis Perbandaran Nilai,2.817896,101.78709400000002,Majlis Perbandaran Nilai,"Majlis Perbandaran Nilai Alamat : No. 1, Kompleks Pentadbiran Kerajaan, Persiaran Pusat Bandar, Putra Nilai, 71800 Nilai, Negeri Sembilan.",606-798 9000,606-799 7300,www.mpnns@mpn.gov.my,http://www.mpn.gov.my/,,,,,,,
Majlis Perbandaran Padawan,1.291899,110.41518300000007,Majlis Perbandaran Padawan,"Majlis Perbandaran Padawan, Kota Padawan, Pasar Batu 10, Peti Surat 620, 93712 Kuching, Sarawak.",6082 - 615566,6082 - 611832,mpp@sarawak.gov.my,http://www.mpp.sarawak.gov.my/,,,,,,,
Majlis Perbandaran Pasir Gudang,1.473539,103.90796,Majlis Perbandaran Pasir Gudang,"Aras 19, Menara Aqabah, Jalan Bandar, 81700 Pasir Gudang, Johor.",07-254 7777,07-251 5260,mppg@johor.gov.my,http://www.mppg.gov.my/,,,,,,,
Majlis Perbandaran Port Dickson,2.536424,101.80681419999996,Majlis Perbandaran Port Dickson,"Majlis Perbandaran Port Dickson KM 1, Jalan Pantai, 71009 Port Dickson, Negeri Sembilan Darul Khusus",606-646 2454,606-646 2455,watie@mppd.gov.my,http://www.mppd.gov.my/,,,,,,,
Majlis Perbandaran Pulau Pinang,5.418913,100.33179799999994,Majlis Perbandaran Pulau Pinang,"Majlis Perbandaran Pulau Pinang, Paras 4, KOMTAR Jalan Penang 10675 Pulau Pinang",04-2592020,04-262 6260,aduan@mppp.gov.my,http://www.mppp.gov.my/,,,,,,,
"Majlis Perbandaran Sandakan, Sabah",5.84561,118.05705609999995,"Majlis Perbandaran Sandakan, Sabah","Peti Surat 221, 90702 Sandakan Sabah, Malaysia",089-275400,089-272112,Catherin.Chua@sabah.gov.my;Abu.Lele@sabah.gov.my,http://www.mps.sabah.gov.my/,,,,,,,
Majlis Perbandaran Seberang Perai,5.353762,100.47442610000007,Majlis Perbandaran Seberang Perai,"Jalan Perda Utama, Bandar Perda, 14000 Bukit Mertajam, Pulau Pinang",04-5497555,04-5389700,aduan@mpsp.gov.my,http://www.mpsp.gov.my/,,,,,,,
Majlis Perbandaran Selayang,3.253615,101.653189,Majlis Perbandaran Selayang,"Menara MPS, Persiaran 3, Bandar Baru Selayang, 68100 Batu Caves, Selangor Darul Ehsan",603 - 61204903,603 - 6138 8933,aduanmps@mps.gov.my,http://www.mps.gov.my,,,https://twitter.com/#!/MPSelayang,,,,
Majlis Perbandaran Sepang,2.933826,101.645281,Majlis Perbandaran Sepang,"Persiaran Semarak Api, Cyber 1, 63200 Cyberjaya, Selangor Darul Ehsan",603-8319 0200/0300,603-8319 0220,webmaster@mpsepang.gov.my,http://www.mpsepang.gov.my,http://www.facebook.com/pages/Majlis-Perbandaran-Sepang/288774218694?ref=ts,,http://twitter.com/#!/mpsepang,,,,
Majlis Perbandaran Seremban,2.724539,101.94064200000003,Majlis Perbandaran Seremban,"Majlis Perbandaran Seremban Jln Yam Tuan, 70990 Seremban, Negeri Sembilan Darul Khusus Malaysia.",606-7667555 / 606-7667500,606-763 7449,aduan@mpsns.gov.my,http://www.mpsns.gov.my/,http://www.facebook.com/pages/Majlis-Perbandaran-Seremban-Negeri-Sembilan/146202518773801,,http://twitter.com/#!/mpsns,,,,
Majlis Perbandaran Sibu,2.310033,111.84,Majlis Perbandaran Sibu,"Majlis Perbandaran Sibu Tingkat 19 - 24, Wisma Sanyan, No. 1, Jalan Sanyan, Peti Surat 557, 96007, Sibu, Sarawak.",6084-333411,6084-320240,SMC@smc.gov.my,http://www.smc.gov.my/,,,,,,,
Majlis Perbandaran Subang Jaya,3.051602,101.582341,"","Persiaran Perpaduan, USJ 5, 47610, Subang Jaya, Selangor Darul Ehsan.",603 - 5637 6546,603 - 5637 6585,mpsj@mpsj.gov.my,http://www.mpsj.gov.my/,http://www.facebook.com/pages/Majlis-Perbandaran-Subang-Jaya/154381784623583,,https://twitter.com/#!/MPSubangJaya,,,,
Majlis Perbandaran Sungai Petani,5.649024,100.49513000000002,Majlis Perbandaran Sungai Petani,"Majlis Perbandaran Sungai Petani, Kompleks Pejabat MPSPK, Jalan Patani, 08000 Sungai Petani, Kedah Darul Aman.",604 - 421 2205,604 - 423 3416,admin@mpspk.gov.my,http://www.mpspk.gov.my/,,,,,,,
Majlis Perbandaran Taiping,4.853618,100.74164399999995,Majlis Perbandaran Taiping,Wisma Perbandaran Taiping Jalan Taming Sari 34000 Taiping Perak,605 - 8080 777,605 - 8068 957,mpt@mptaiping.gov.my,http://www.mptaiping.gov.my/,http://www.facebook.com/pages/Majlis-Perbandaran-Taiping/380390088416,,https://twitter.com/#!/MPTaiping,,,,
